registered at: ,2026-06-18 09:56:45.323676
0.3962,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 1.    0.    0.    0.    0.  ]]"
0.3964,W,[0.00386592 0.06217652 0.06217652 0.00386592 0.06217652 1.        ]
0.3965,b,[ 0.24068313  1.20281722 -1.33510138 -3.61389513 -2.1165584   0.        ]
0.3966,coefficients,"[ 6.90670565e-18  4.14921952e+00  1.65507326e+01 -1.67250827e+00
  5.64186498e+00]"
0.397,r_i,[-2.  -0.8]
0.3972,D,"[[ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [-1.    0.    0.    0.    0.  ]]"
0.3974,W,[0.06217652 0.00386592 0.06217652 0.06217652 0.00386592 1.        ]
0.3975,b,[ 2.167855   -3.13941542 -5.25362793 -1.75555386 -6.8448753   0.        ]
0.3976,coefficients,"[ 1.85444032e-17  4.90426107e+00  6.55978615e+01 -6.81090567e-01
 -2.61312598e+00]"
0.4008,r_i,[ 2.  -0.8]
0.4009,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 1.    0.    0.    0.    0.  ]]"
0.4011,W,[0.00386592 0.06217652 0.06217652 0.00386592 0.06217652 1.        ]
0.4012,b,[ 0.78145702  2.1165584  -1.49733674 -3.04778166 -1.61587638  0.        ]
0.4013,coefficients,"[ 1.60859807e-18  4.66554346e+00  1.85675818e+01 -3.02512205e-01
 -3.20382635e+00]"
0.4018,r_i,[-2.  -0.4]
0.4019,D,"[[ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [-1.    0.    0.    0.    0.  ]]"
0.4021,W,[0.06217652 0.00386592 0.06217652 0.06217652 0.00386592 1.        ]
0.4022,b,[ 1.75555386 -3.49807408 -5.08932144 -0.51140262 -5.67698539  0.        ]
0.4023,coefficients,"[-2.74282630e-17  2.83369560e+00  6.37740960e+01 -2.75141131e-01
 -7.69715628e+00]"
0.4055,r_i,[ 2.  -0.4]
0.4056,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 1.    0.    0.    0.    0.  ]]"
0.4058,W,[0.00386592 0.06217652 0.06217652 0.00386592 0.06217652 1.        ]
0.4059,b,[ 0.11853964  1.61587638 -1.43190528 -1.77302797 -0.73810425  0.        ]
0.406,coefficients,"[-2.10702389e-20  2.94247578e+00  1.76816424e+01  1.44504067e+00
 -5.59466260e+00]"
0.4065,r_i,[-2.  0.]
0.4066,D,"[[ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [-1.    0.    0.    0.    0.  ]]"
0.4068,W,[0.06217652 0.00386592 0.06217652 0.06217652 0.00386592 1.        ]
0.4069,b,[ 0.51140262 -4.57791883 -5.16558277  0.63929265 -4.30528593  0.        ]
0.407,coefficients,"[ 2.72131647e-17 -1.59862539e-01  6.43750683e+01 -4.52321438e-01
 -7.28920360e+00]"
0.4102,r_i,[2. 0.]
0.4103,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 1.    0.    0.    0.    0.  ]]"
0.4105,W,[0.00386592 0.06217652 0.06217652 0.00386592 0.06217652 1.        ]
0.4106,b,[-0.69380104  0.73810425 -1.03492372 -0.58050733  0.45475884  0.        ]
0.4108,coefficients,"[-5.21514905e-19  3.54181756e-01  1.31968037e+01  1.23949724e+00
 -7.32526575e+00]"
0.4112,r_i,[-2.   0.4]
0.4113,D,"[[ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [-1.    0.    0.    0.    0.  ]]"
0.4115,W,[0.06217652 0.00386592 0.06217652 0.06217652 0.00386592 1.        ]
0.4116,b,[-0.63929265 -5.80487542 -4.94457858  1.47158629 -3.0849209   0.        ]
0.4117,coefficients,"[ 3.13904415e-17 -2.63859868e+00  6.16977991e+01 -1.90336119e+00
 -5.25655188e+00]"
0.4149,r_i,[2.  0.4]
0.415,D,"[[-0.4  -0.4   0.08  0.16  0.08]
 [ 0.   -0.4   0.   -0.    0.08]
 [-0.4   0.    0.08 -0.    0.  ]
 [-0.4   0.4   0.08 -0.16  0.08]
 [ 0.    0.4   0.    0.    0.08]
 [ 1.    0.    0.    0.    0.  ]]"
0.4152,W,[0.00386592 0.06217652 0.06217652 0.00386592 0.06217652 1.        ]
0.4154,b,[-1.48968257 -0.45475884 -1.03526617  0.35972353  2.00206602  0.        ]
0.4155,coefficients,"[ 2.27422667e-18 -3.07103108e+00  1.33382530e+01 -1.89818366e+00
 -9.47195693e+00]"
0.416,r_i,[-2.   0.8]
0.4161,D,"[[ 0.   -0.4   0.   -0.    0.08]
 [ 0.4  -0.4   0.08 -0.16  0.08]
 [ 0.4   0.    0.08  0.    0.  ]
 [ 0.    0.4   0.    0.    0.08]
 [ 0.4   0.4   0.08  0.16  0.08]
 [-1.    0.    0.    0.    0.  ]]"
0.4163,W,[0.06217652 0.00386592 0.06217652 0.06217652 0.00386592 1.        ]
0.4164,b,[-1.47158629 -6.41616488 -4.55650719  2.04772755 -2.98309971  0.        ]
